Porosity (%)	Depth (m)
11.46932953	1723.698033
11.69757489	1763.845346
12.03994294	1781.086373
12.72467903	1792.64579
12.38231098	1769.674105
12.38231098	1746.751468
12.38231098	1723.828832
12.72467903	1723.877882
13.06704708	1752.580227
13.06704708	1781.233522
13.63766049	1792.77659
14.20827389	1792.85834
14.55064194	1792.90739
15.23537803	1793.005489
15.69186876	1793.070889
16.60485021	1793.201689
17.17546362	1793.283439
17.86019971	1787.650879
18.54493581	1787.748979
19.11554922	1782.10007
20.4850214	1776.56561
20.14265335	1765.055242
20.59914408	1742.198006
20.59914408	1742.198006
21.16975749	1742.279756
20.82738944	1742.230706
19.68616262	1742.067206
19.00142653	1753.430425
18.31669044	1753.332325
17.86019971	1736.074948
17.28958631	1730.262539
16.94721826	1730.21349
16.60485021	1724.433781
16.14835949	1724.368381
15.4636234	1724.270281
14.7788873	1724.172181
14.43651926	1724.123132
13.63766049	1724.008682
13.40941512	1729.706641
13.75178317	1752.678327
14.20827389	1758.474386
14.55064194	1764.254095
15.00713267	1764.319494
15.4636234	1752.923576
15.80599144	1764.433944
16.0342368	1770.197303
16.60485021	1770.279053
17.17546362	1770.360803
17.74607703	1764.711893
17.28958631	1753.185175
16.7189729	1747.372767
16.26248217	1741.576708
15.4636234	1741.462258
14.55064194	1741.331459
14.20827389	1741.282409
21.85449358	1742.377856
22.19686163	1742.426905
22.65335235	1742.492305
22.9957204	1731.080037
22.9957204	1748.272014
22.65335235	1765.414941
22.65335235	1782.606918
22.9957204	1794.117286
23.45221113	1794.182686
23.22396576	1776.958009
26.19115549	1576.810042
26.53352354	1582.589751
24.36519258	1473.39658
24.70756063	1461.984312
24.93580599	1462.017012
25.62054208	1462.115112
26.07703281	1467.911171
26.07703281	1502.295125
26.87589158	1496.678916
27.10413695	1513.903592
26.64764622	1456.531602
27.44650499	1462.376711
27.67475036	1479.601388
28.24536377	1496.875115
28.70185449	1496.940515
28.70185449	1468.28722
28.24536377	1456.760502
29.38659058	1468.385319
29.72895863	1474.165028
29.95720399	1457.005751
30.41369472	1468.532469
31.09843081	1485.822546
30.87018545	1502.981823
